pool_size,time,cumulative_time
285,17.680363425,5129.421492318
286,14.248956374,5143.670448692
287,17.657736829,5161.328185521
288,17.206583578,5178.534769099
289,14.946935883,5193.481704982
290,18.197196175,5211.678901157
291,18.124259011,5229.8031601679995
292,19.449134355,5249.252294522999
293,18.432330691,5267.684625213999
294,16.858320095,5284.542945308999
295,17.720020073,5302.2629653819995
296,13.492257145,5315.755222526999
297,15.396338218,5331.151560744999
298,14.706992644,5345.858553388999
299,17.752904559,5363.611457947999
300,17.996079363,5381.607537310999
301,17.585671205,5399.193208515999
302,17.109994682,5416.303203197999
303,15.490681081,5431.793884278999
304,16.893954977,5448.687839255999
305,17.619743082,5466.3075823379995
306,17.154465076,5483.462047413999
307,18.695314262,5502.157361675999
308,17.808998066,5519.9663597419985
309,19.168652134,5539.135011875998
310,17.621991819,5556.757003694998
311,16.796742993,5573.553746687999
312,15.837637072,5589.3913837599985
313,16.404436594,5605.795820353998
314,16.026686167,5621.822506520998
315,16.440328587,5638.262835107998
316,13.874795963,5652.137631070998
317,15.794631546,5667.932262616999
318,18.734226531,5686.666489147999
319,18.634590932,5705.301080079998
320,14.863695602,5720.164775681998
321,16.911037601,5737.075813282999
322,16.70466232,5753.780475603
323,17.888203416,5771.668679019
324,17.481595107,5789.150274126
325,17.316169793,5806.466443919
326,18.440438606,5824.906882525
327,14.053257187,5838.960139712
328,18.557923287,5857.518062999
329,17.677629707,5875.195692706
330,15.056481326,5890.252174032
331,17.095606718,5907.34778075
332,17.750101466,5925.0978822160005
333,14.457774532,5939.555656748001
334,15.845007245,5955.400663993
335,14.866025494,5970.266689487
336,18.085802098,5988.352491585
337,17.110470141,6005.462961726001
338,14.374514482,6019.837476208
339,18.676304049,6038.513780257
340,15.052453789,6053.566234045999
341,16.712664205,6070.278898250999
342,15.356185165,6085.635083415999
343,17.346568718,6102.981652133999
344,16.275063966,6119.256716099999
345,17.453481815,6136.710197914998
346,16.826316335,6153.536514249999
347,16.661110933,6170.197625182998
348,13.64477078,6183.842395962998
349,15.86095197,6199.703347932998
350,18.500329633,6218.203677565998
351,15.609023914,6233.812701479998
352,18.183106877,6251.995808356998
353,16.669082791,6268.664891147998
354,19.700644173,6288.365535321
355,15.27172049,6303.637255811
356,18.943896848,6322.581152659
357,19.635209975,6342.216362634
358,14.326635429,6356.542998063
359,17.690514439,6374.233512502
360,17.579274475,6391.812786977
361,18.824443953,6410.6372309299995
362,17.359473958,6427.996704888
363,14.514960357,6442.511665245
364,17.145157868,6459.6568231129995
365,16.878061522,6476.534884635
366,17.401120381,6493.936005015999
367,17.904491392,6511.840496407999
368,15.206027734,6527.046524141999
369,15.270412023,6542.316936164999
370,17.410831147,6559.727767312
371,16.609229363,6576.336996675
372,17.363559538,6593.700556213
373,17.440383069,6611.140939282
374,18.052631253,6629.193570535
375,18.040970427,6647.234540961999
376,14.791345699,6662.025886660999
377,17.256678884,6679.282565545
378,17.245397771,6696.527963316
379,18.178015906,6714.705979222
380,14.573633677,6729.279612898999
381,17.918474187,6747.198087086
382,15.249619556,6762.4477066419995
383,16.976489459,6779.424196100999
384,15.725780316,6795.149976416999
385,16.71065522,6811.860631637
386,14.404061599,6826.264693236
387,17.50138114,6843.766074376001
388,17.718945223,6861.485019599001
389,17.65470957,6879.139729169001
390,16.342818316,6895.482547485001
391,19.607043625,6915.0895911100015
392,17.212909795,6932.302500905002
393,17.307521602,6949.610022507001
394,16.607508553,6966.217531060001
395,12.491996307,6978.709527367001
396,12.857232912,6991.566760279001
397,16.869112539,7008.4358728180005
398,16.251084453,7024.686957271
399,14.209570117,7038.896527388
400,16.324950595,7055.221477983
401,16.962198925,7072.183676908
402,16.255955875,7088.439632783
403,16.533066126,7104.972698909
404,17.226174156,7122.198873065
405,16.825069057,7139.023942122
406,13.928683848,7152.952625970001
407,15.895709569,7168.848335539001
408,12.549461803,7181.397797342001
409,17.356588154,7198.754385496
410,16.413593401,7215.1679788970005
411,16.826584573,7231.994563470001
412,17.789807836,7249.784371306001
413,16.811190587,7266.595561893001
414,15.579714803,7282.175276696001
415,16.307199607,7298.482476303001
416,16.891134079,7315.373610382001
417,16.231160487,7331.604770869001
418,17.036061414,7348.640832282999
419,16.976002059,7365.6168343419995
420,14.303486071,7379.920320413
421,17.388987053,7397.309307466
422,16.896960149,7414.206267615
423,17.342806019,7431.549073634
424,15.264501912,7446.813575546
425,16.982726642,7463.796302188
426,17.121579873,7480.917882061
427,16.874390421,7497.792272481999
428,11.908972296,7509.701244777999
429,17.223048246,7526.924293023999
430,16.073026595,7542.9973196189985
431,12.327884054,7555.325203672998
432,16.856877921,7572.182081593998
433,13.02510378,7585.207185373998
434,17.38850471,7602.595690084
435,14.436225085,7617.031915169
436,14.719067128,7631.750982297
437,13.352851239,7645.103833536
438,16.099764978,7661.203598514
439,17.345937626,7678.54953614
440,16.168166593,7694.717702733
441,17.565373239,7712.283075972
442,16.715225234,7728.998301206
443,16.658163527,7745.656464733001
444,17.945273933,7763.6017386660005
445,17.561539212,7781.163277878
446,17.803562091,7798.966839969
447,16.932992017,7815.899831986
448,14.2294621,7830.129294086
449,13.821062577,7843.950356663
450,15.11155466,7859.061911323
451,18.135883646,7877.197794969
452,17.272080717,7894.469875686
453,17.944157888,7912.414033573999
